label,label_name,channel,mean_mean,mean_std,std_mean,std_std,range_mean,range_std,ssim_mean,ssim_n,participant_count,region_count
0,Noise,0,0.3476830663208531,0.039198542937430005,0.21353200294003316,0.023330102749652543,0.8979401030761992,0.049579099560451305,0.12810622721857892,4144,4,6348
0,Noise,1,0.37087909179225326,0.03735534043549299,0.187052776554321,0.022834260194498864,0.8914274441082297,0.0517134194446656,0.12346752835183489,4144,4,6348
0,Noise,2,0.34279095085088856,0.0406529888681856,0.19897518061600972,0.014035421732046126,0.9004839550540424,0.05283025101119113,0.11052143735882577,4144,4,6348
0,Noise,all,0.353784369654665,0.03423739470849545,0.19985332003678796,0.012569874144202305,0.8966171674128237,0.029875350124406203,,0,4,6348
1,Up,0,0.353395598502669,0.04293127729256534,0.2100331883388742,0.023997028476373614,0.926258222013681,0.043567488919148314,0.12132104126554727,2179,4,2240
1,Up,1,0.3788834861132576,0.038303581881222945,0.18560435219556212,0.019415793878578114,0.93222704079636,0.04335464281853128,0.1040800877961597,2179,4,2240
1,Up,2,0.35158360386679516,0.043913411283764865,0.19812234845338222,0.012923628437220796,0.9412572953440842,0.03931139320918457,0.11502780791784445,2179,4,2240
1,Up,all,0.3612875628275739,0.03810125029216661,0.1979199629959395,0.012126115729766506,0.9332475193847084,0.025417280566887773,,0,4,2240
2,Down,0,0.3539689019317322,0.04040884551658493,0.20978406740449712,0.0242132040346765,0.9311832360858788,0.04369993730381472,0.12390891465562737,1960,4,1987
2,Down,1,0.37799398570845155,0.037124046143065435,0.18326268225181877,0.020418296290711072,0.9187048303612587,0.04403073862367478,0.10693392452003012,1960,4,1987
2,Down,2,0.3533310461243932,0.043048771019733645,0.19842292900158784,0.01345622206260542,0.9294641036876511,0.044988960989527274,0.11925087628866451,1960,4,1987
2,Down,all,0.3617646445881923,0.03617983139395131,0.19715655955263459,0.012852685606319327,0.9264507233782628,0.025719042897067494,,0,4,1987
3,Left,0,0.35521181126449786,0.04388652155661931,0.2101864823377344,0.0246710050512541,0.9238908795694195,0.04399302187001483,0.12658378501930448,2034,4,2072
3,Left,1,0.3790994616773936,0.03743686219026087,0.18440757524821266,0.022332007968505478,0.9236779835267778,0.045389391981973205,0.11012719179213146,2034,4,2072
3,Left,2,0.3498749240514386,0.044751358542494776,0.19932884248373733,0.012586302108504106,0.9311034085071351,0.04301477736198781,0.12318820942992433,2034,4,2072
3,Left,all,0.3613953989977767,0.03851732137470365,0.19797430002322813,0.013888880713128963,0.9262240905344441,0.026307064694300667,,0,4,2072
4,Right,0,0.3546328491312282,0.04253791347989325,0.208945146661243,0.024921675516641827,0.9194877925063264,0.044239516083262764,0.12911256653291558,2087,4,2116
4,Right,1,0.3751720042929638,0.04107017500099232,0.18445554247664173,0.01934952498323239,0.9141358184439492,0.04577558979893079,0.11297869821685237,2087,4,2116
4,Right,2,0.34935918195031995,0.04661637023630257,0.1983788146491557,0.012851213004544594,0.9162709336518867,0.047517091842810624,0.12015417526875075,2087,4,2116
4,Right,all,0.35972134512483733,0.03966951296435426,0.19725983459568014,0.012853230191353692,0.9166315148673874,0.025848808443752043,,0,4,2116
