participant,session,experiment,label,label_name,channel,mean_mean,mean_std,std_mean,std_std,range_mean,range_std,ssim_mean,ssim_n,region_count
0,0,0,0,Noise,0,0.38856350669433865,0.009985996821026912,0.19512645596914457,0.007179152439375733,0.9078065134099617,0.02615012136040726,0.09848395345284001,56,58
0,0,0,0,Noise,1,0.44594230841497423,0.006888384044073202,0.18670731704374757,0.008918388345454305,0.8975659229208925,0.03654532245590013,0.1402253586350036,56,58
0,0,0,0,Noise,2,0.3993568705491401,0.010342052396025635,0.19323663750759296,0.007955680796866196,0.930325932923949,0.023370387532460783,0.10296001206650819,56,58
0,0,0,0,Noise,all,0.41128756188615095,0.0040691190164094315,0.1916901368401617,0.003775546817247166,0.9118994564182676,0.017116804897174816,,0,58
0,0,0,1,Up,0,0.38433821701941256,0.005004075005850724,0.1943261102443872,0.004238839902392416,0.9157407407407407,0.025187908349510024,0.11667244552361894,15,15
0,0,0,1,Up,1,0.44868262716295587,0.004337498110042775,0.18454831216902512,0.006257944026431071,0.9181699346405229,0.02575243971116958,0.112913959730837,15,15
0,0,0,1,Up,2,0.40359263077724844,0.005005354967456509,0.19915612377360334,0.004032663087609134,0.9558599695585996,0.03331709595078921,0.0998599373612254,15,15
0,0,0,1,Up,all,0.4122044916532056,0.003137232649765407,0.19267684872900523,0.0023553280324502103,0.9299235483132878,0.010080656179720295,,0,15
0,0,0,2,Down,0,0.3763493691661467,0.0027674318072017307,0.19391097785124625,0.003102472595456332,0.9454365079365079,0.0037119616932281604,0.12186914353673213,14,14
0,0,0,2,Down,1,0.43478782578183234,0.0032050581562897127,0.18253761781626318,0.0023518665419956742,0.9072829131652661,0.030322047987678562,0.14529857250106862,14,14
0,0,0,2,Down,2,0.39909080019639204,0.004610278125826787,0.19380305335576348,0.0027376427435539833,0.9279191128506197,0.018015382126386738,0.11637913312678264,14,14
0,0,0,2,Down,all,0.4034093317147904,0.0018587027225623715,0.19008388300775764,0.001374057217492384,0.9268795113174646,0.01548939789800649,,0,14
0,0,0,3,Left,0,0.39131826381032786,0.007805251111695566,0.1992750433412367,0.005432837882403364,0.9635076252723311,0.03377894472050674,0.12648950075596802,17,17
0,0,0,3,Left,1,0.44419959958240657,0.006367935096307351,0.1929377700768673,0.005257057086039562,0.9446366782006921,0.021696694343754794,0.17238788112999745,17,17
0,0,0,3,Left,2,0.38908824148541654,0.007421251632090399,0.1859657364049879,0.005335295643280367,0.9293580445876981,0.01805802192265006,0.1274666156706723,17,17
0,0,0,3,Left,all,0.4082020349593836,0.0029560977542042355,0.19272618327436394,0.0031237224443262258,0.9458341160202404,0.012596816874978451,,0,17
0,0,0,4,Right,0,0.3841149087687131,0.006372189582098631,0.18877595747687168,0.0026785267149284347,0.9117476851851852,0.02245688535432067,0.11807467563484457,16,16
0,0,0,4,Right,1,0.4443691085639223,0.004641841283765935,0.19632941009459123,0.0029826901439347522,0.9588235294117646,0.0246362750104883,0.14442113674052734,16,16
0,0,0,4,Right,2,0.409364571970938,0.00453207112820547,0.19383150615359357,0.0047063518132634055,0.9440639269406392,0.026859253278269848,0.10672655331642934,16,16
0,0,0,4,Right,all,0.4126161964345245,0.002933255432853126,0.19297895790835218,0.0014650521599724304,0.938211713845863,0.010377597052139729,,0,16
0,0,1,0,Noise,0,0.38002364637241154,0.0076136447296552305,0.19730476270485672,0.0076106842482424305,0.9292337363697055,0.04699520577197518,0.1111951960324442,52,61
0,0,1,0,Noise,1,0.42506299947445425,0.008854947185082689,0.18831695052469427,0.007080271692574948,0.8777884924461589,0.02025317556017076,0.1301541692330203,52,61
0,0,1,0,Noise,2,0.4232360829530367,0.010925546153939867,0.20753253537047955,0.008786565789826327,0.9585480093676815,0.031048011759799498,0.08323775334365832,52,61
0,0,1,0,Noise,all,0.4094409095999675,0.006119792638530239,0.19771808286667686,0.005108804017285653,0.9218567460611818,0.01823998433569685,,0,61
0,0,1,1,Up,0,0.3777534648894818,0.005727918334044203,0.19578458176908795,0.00351900553085443,0.9336349924585219,0.034868342694616986,0.12268566353745733,15,15
0,0,1,1,Up,1,0.4274056574429243,0.003940735785323081,0.18756031458808348,0.004753872153779741,0.9111111111111111,0.022994224700233323,0.1213708270556566,15,15
0,0,1,1,Up,2,0.42333882056109134,0.00833117349593604,0.20777727750704156,0.006054409190831593,0.9663492063492064,0.03519885048824422,0.09456604682687857,15,15
0,0,1,1,Up,all,0.4094993142978325,0.00255447053637749,0.19704072462140435,0.0025815536838625277,0.9370317699729465,0.016305414785023137,,0,15
0,0,1,2,Down,0,0.3714417394004107,0.0036864926946315953,0.19340377833999375,0.002873536503872148,0.958974358974359,0.01821767099736204,0.1484742305419321,15,15
