participant,label,label_name,channel,mean_mean,mean_std,std_mean,std_std,range_mean,range_std,ssim_mean,ssim_n,session_count,region_count
0,0,Noise,0,0.3850855840174918,0.04577437931454401,0.18302808352237357,0.015740246945409497,0.8968247681262508,0.05243200977796647,0.09540620570378952,491,6,1219
0,0,Noise,1,0.41028021125928454,0.02533947110171447,0.17930544063230006,0.013614125672153143,0.8996091299522269,0.04485241435037365,0.1220108500551326,491,6,1219
0,0,Noise,2,0.39532381244351145,0.04268971092941246,0.19097693518124575,0.010226865196357387,0.9169516817609998,0.04916649482031907,0.09362108015835288,491,6,1219
0,0,Noise,all,0.3968965359067626,0.03478993654257829,0.1844368197786398,0.010477147952209725,0.9044618599464925,0.02625809670633217,,0,6,1219
0,1,Up,0,0.39678182554367397,0.041105992793952786,0.18242944466581307,0.015033717415162635,0.9210445100827427,0.042935862330423874,0.1231822409568807,548,6,562
0,1,Up,1,0.42065175472206523,0.024592511525078454,0.18030478243761033,0.009356112825603105,0.9511129718791431,0.035777357979971475,0.11485031378219748,548,6,562
0,1,Up,2,0.402738871799558,0.03872310724047663,0.1887359613357304,0.009331544799997314,0.9355494281048546,0.038543929073892896,0.1071137090624258,548,6,562
0,1,Up,all,0.4067241506884324,0.0321878946758094,0.1838233961463846,0.009094113036835536,0.9359023033555801,0.021957258839970326,,0,6,562
0,2,Down,0,0.3893431077635381,0.04437714510718777,0.18221736429882418,0.013469939416285841,0.9386558795883934,0.03911048710853714,0.11880658366906156,518,6,524
0,2,Down,1,0.41590009531172634,0.02491773360890566,0.175608161962197,0.01071576733348573,0.9231402484657986,0.03742542755617981,0.1294660052256594,518,6,524
0,2,Down,2,0.4010325531982255,0.03812504177405401,0.1891118241988303,0.008896305269720736,0.9277023748837971,0.04169426919319357,0.12293783428085987,518,6,524
0,2,Down,all,0.40209191875782996,0.03312052532985839,0.18231245015328382,0.009165760776816996,0.9298328343126631,0.02101395560691672,,0,6,524
0,3,Left,0,0.39865127235419845,0.0426037237765374,0.1816051128564516,0.015823645406433128,0.9383703319529338,0.03915132556189187,0.12363947441284338,542,6,557
0,3,Left,1,0.4166836210141513,0.024045742630016482,0.1765961446937241,0.013242075740555376,0.9247791037420354,0.03754322130427881,0.1330378511436998,542,6,557
0,3,Left,2,0.3997697826619187,0.03895633980600043,0.18862494043560327,0.0076767491818794205,0.9302171815022902,0.03968491180855773,0.12095190689947007,542,6,557
0,3,Left,all,0.4050348920100895,0.032371792644247936,0.18227539932859296,0.010224278577373517,0.9311222057324199,0.022155844978949266,,0,6,557
0,4,Right,0,0.3959688859829987,0.04041151102916128,0.17921347880549662,0.015126494160905123,0.9214076886585123,0.04565112774825454,0.13266274532468134,549,6,562
0,4,Right,1,0.4136277903934078,0.024234577708631393,0.1797289071550118,0.011053001150288332,0.9301723536389644,0.03964251981101551,0.1338076260544035,549,6,562
0,4,Right,2,0.4042039750421619,0.03825147538569012,0.18993910500155584,0.009895393431394353,0.9315975963530563,0.04634635306455618,0.11858335603467747,549,6,562
0,4,Right,all,0.40460021713952277,0.03153109319036588,0.18296049698735475,0.009863564808849866,0.9277258795501777,0.023461116465395136,,0,6,562
1,0,Noise,0,0.3509936492154296,0.018062874064752144,0.23662644141176534,0.010491863730985297,0.9078764183700875,0.0433566265173891,0.13121931605539044,1157,6,1872
1,0,Noise,1,0.37554255437515544,0.01599276566392603,0.1793115710822233,0.011536232914873943,0.8930156144534412,0.05135977210528478,0.10940801440893505,1157,6,1872
1,0,Noise,2,0.3287458680563365,0.020548962601530687,0.20109453837448185,0.011331600769398367,0.9094153600949241,0.057838840315647316,0.1431179135763959,1157,6,1872
1,0,Noise,all,0.35176069054897385,0.013825437191494962,0.20567751695615683,0.0062362728376314435,0.9034357976394843,0.030924712405419122,,0,6,1872
1,1,Up,0,0.35057171447057967,0.017416605930569352,0.23764734171153762,0.009848284030027988,0.9441622204754841,0.03542222530222913,0.12286621941452729,539,6,547
