label,label_name,channel,region_idx,n_samples,mean,std,range,ssim,participant,session,experiment
0,Noise,0,0,74,0.3609214984214984,0.1849229819112365,0.8703703703703703,0.09849163454882079,0,0,0
0,Noise,1,0,74,0.4363931352166646,0.18248456576511643,0.9137254901960784,0.13554507394512888,0,0,0
0,Noise,2,0,74,0.4142957499121882,0.19813796535016048,0.9863013698630136,0.11771216304852483,0,0,0
0,Noise,0,1,31,0.3889658579174708,0.1900788236365528,0.8842592592592593,0.10678389030280538,0,0,0
0,Noise,1,1,31,0.4222332506203474,0.19320292877239573,0.8627450980392157,0.11048215305530501,0,0,0
0,Noise,2,1,31,0.4070124749311669,0.21007951251455528,0.9817351598173516,0.11622916326966505,0,0,0
0,Noise,0,2,26,0.37688061582292354,0.1958538790748517,0.8935185185185185,0.09176945440292968,0,0,0
0,Noise,1,2,26,0.43914607263023553,0.17916356664918026,0.8705882352941177,0.14146369104167106,0,0,0
0,Noise,2,2,26,0.4091945637783362,0.20478511223915086,0.9817351598173516,0.11202903683422707,0,0,0
0,Noise,0,3,36,0.3869796612852168,0.19402108565627596,0.9027777777777778,0.09955922809172355,0,0,0
0,Noise,1,3,36,0.4498366013071896,0.15705490236166747,0.8901960784313725,0.1554977592265712,0,0,0
0,Noise,2,3,36,0.4069488350310268,0.19889806330107543,0.9634703196347032,0.08798251162710133,0,0,0
0,Noise,0,4,30,0.38639245014245016,0.1953930839642692,0.9074074074074074,0.0821300940927851,0,0,0
0,Noise,1,4,30,0.4452549019607843,0.1686288395420281,0.8705882352941177,0.13218054610890137,0,0,0
0,Noise,2,4,30,0.41838660578386605,0.20223530741684648,0.954337899543379,0.09798680770490673,0,0,0
0,Noise,0,5,43,0.3881228052739681,0.19364940428144056,0.9074074074074074,0.08527006275955545,0,0,0
0,Noise,1,5,43,0.45072012346978146,0.17213922346212768,0.8588235294117647,0.1387767798049617,0,0,0
0,Noise,2,5,43,0.4052580848057114,0.20010797324259744,0.9634703196347032,0.08624472048334744,0,0,0
0,Noise,0,6,27,0.38364461327424293,0.18660300815620362,0.9074074074074074,0.07799751599469969,0,0,0
0,Noise,1,6,27,0.45293112116641526,0.16456200574445756,0.8392156862745098,0.14475383722145868,0,0,0
0,Noise,2,6,27,0.4012918081411232,0.19530691681330262,0.9360730593607306,0.07224635993289527,0,0,0
