channel,statistic,class_1,class_2,cohens_d,effect_size
all,mean,Noise,Down,-0.22993991263858873,small
all,mean,Noise,Left,-0.21540248754037522,small
all,mean,Noise,Right,-0.16645020737376257,small
all,mean,Up,Down,-0.012824208891059693,small
all,mean,Up,Left,-0.0028160912614179543,small
all,mean,Up,Right,0.040302016293462056,small
all,mean,Down,Left,0.009877597797598473,small
all,mean,Down,Right,0.05375641628869076,small
all,mean,Left,Right,0.04282083103185059,small
all,std,Noise,Up,0.15523670652973803,small
all,std,Noise,Down,0.21341349015769825,small
all,std,Noise,Left,0.14560098190312992,small
all,std,Noise,Right,0.20518435801371337,small
all,std,Up,Down,0.06121940879220014,small
all,std,Up,Left,-0.004179780602969378,small
all,std,Up,Right,0.05288753793919381,small
all,std,Down,Left,-0.06107844083062774,small
all,std,Down,Right,-0.008037072460212296,small
all,std,Left,Right,0.05342819455027763,small
all,range,Noise,Up,-1.2729333990678722,large
all,range,Noise,Down,-1.031026149036954,large
all,range,Noise,Left,-1.019700001444844,large
all,range,Noise,Right,-0.6920983031481056,medium
all,range,Up,Down,0.2659827820931451,small
all,range,Up,Left,0.2717766409252372,small
all,range,Up,Right,0.6485073827372728,medium
all,range,Down,Left,0.008711800835771196,small
all,range,Down,Right,0.3808882278139844,small
all,range,Left,Right,0.36795024760810846,small
all,ssim,Noise,Up,,N/A
all,ssim,Noise,Down,,N/A
all,ssim,Noise,Left,,N/A
all,ssim,Noise,Right,,N/A
all,ssim,Up,Down,,N/A
all,ssim,Up,Left,,N/A
all,ssim,Up,Right,,N/A
all,ssim,Down,Left,,N/A
all,ssim,Down,Right,,N/A
all,ssim,Left,Right,,N/A
