participant,session,label,label_name,channel,mean_mean,mean_std,std_mean,std_std,range_mean,range_std,ssim_mean,ssim_n,experiment_count,region_count
0,0,4,Right,0,0.3442173881746515,0.030798362951259352,0.19313681281705153,0.005881768201952306,0.9008993258896987,0.041583671041158086,0.12172242306038733,81,5,82
0,0,4,Right,1,0.4000147739686439,0.03217803473369534,0.19528054655558166,0.004986768223572934,0.9323290291726447,0.04548656892362458,0.14978245516774663,81,5,82
0,0,4,Right,2,0.3709408085178374,0.04156948624563445,0.20061598380261245,0.008423608370171417,0.9571256173986705,0.038578310132598055,0.11682232428306932,81,5,82
0,0,4,Right,all,0.37172432355371093,0.03418522508147649,0.1963444477250819,0.0033279479599452686,0.930117990820338,0.019823608471302146,,0,5,82
0,1,0,Noise,0,0.33546412419881805,0.02315848516157011,0.1943516068796147,0.01036462222378921,0.8772611520797268,0.0542895095265465,0.09870317612728949,77,5,234
0,1,0,Noise,1,0.39178762161787273,0.02196336370264246,0.19128487247280193,0.01062269325657736,0.8965141612200436,0.043172899299716246,0.13398296102141669,77,5,234
0,1,0,Noise,2,0.34712492464622824,0.03188748883353211,0.1917886839441291,0.007498186244504302,0.927547159849001,0.04606102484397708,0.07884046454221036,77,5,234
0,1,0,Noise,all,0.35812555682097297,0.024199134392377437,0.1924750544321819,0.005560484392838954,0.9004408243829237,0.024895180583596403,,0,5,234
0,1,1,Up,0,0.3399522933401861,0.02018922306313151,0.19956070036407977,0.00780452414226931,0.9018674911534913,0.04285766005395301,0.11666106303096897,87,5,90
0,1,1,Up,1,0.3924013826273278,0.021512441422792784,0.19257247588516996,0.0066778572869711965,0.9240958605664489,0.030863411690383712,0.13841139052032297,87,5,90
0,1,1,Up,2,0.3453724164776129,0.02911578476825973,0.19025791632002387,0.005195075660008952,0.9351346443309213,0.0304103317008036,0.10814711688053409,87,5,90
0,1,1,Up,all,0.35924203081504225,0.02251176489629111,0.19413036418975788,0.004796717105502438,0.9203659986836203,0.020389630363136412,,0,5,90
0,1,2,Down,0,0.3289579441057215,0.019887976978434398,0.19461967511299383,0.007512234889692019,0.9266702186908147,0.04293833059658019,0.12873871723694622,80,5,82
0,1,2,Down,1,0.38858636798139135,0.020498745723337573,0.19001638242152813,0.006988550954579353,0.9251076040172167,0.030498660071935867,0.15797614350069183,80,5,82
0,1,2,Down,2,0.34771567257752356,0.02813717772647491,0.19287748191675957,0.006502616501073128,0.9512111067839553,0.0349494612185699,0.11588138936469457,80,5,82
0,1,2,Down,all,0.3550866615548788,0.021932676948038812,0.19250451315042716,0.004337846772704149,0.9343296431639955,0.016164070909044852,,0,5,82
0,1,3,Left,0,0.3394874026201304,0.019116205023331674,0.20084352371723185,0.005631946865185131,0.9487077343094648,0.03561069742521848,0.1369840921581093,87,5,89
0,1,3,Left,1,0.3916212686605572,0.01761843167564129,0.19506377077863307,0.006838326177801262,0.9396342806785636,0.031309082291355095,0.15652574010669343,87,5,89
0,1,3,Left,2,0.34260695731437524,0.031174100061380956,0.19091556941368357,0.0044559948079911154,0.9403200718395966,0.029272467874335146,0.1140925990798268,87,5,89
0,1,3,Left,all,0.3579052095316876,0.02148182216529394,0.19560762130318282,0.004000806741474585,0.9428873622758751,0.01906980942794686,,0,5,89
0,1,4,Right,0,0.3401479897324453,0.02110958051409827,0.19513694777803758,0.009552797227015818,0.899028646272883,0.045169395324030234,0.13204416616269127,82,5,82
